agency_id,route_id,route_short_name,route_long_name,route_type
101,1,1 ME,1,3
101,1001,1 BZ,1,3
101,1003,3 BZ,3,3
101,1005,5 BZ,5,3
101,1006,6 BZ,6,3
101,1008,8 BZ,8,3
101,1009,9 BZ,9,3
101,1011,11 BZ,11,3
101,1012,12 BZ,12,3
101,1014,14 BZ,14,3
101,1071,7A BZ,7A,3
101,1072,7B BZ,7B,3
101,110,110 BZ,110,3
101,1101,10A BZ,10A,3
101,1102,10B BZ,10B,3
101,111,111 BZ,111,3
101,112,112 BZ,112,3
101,1153,153 BZ,153,3
101,116,116 BZ,116,3
101,117,117 BZ,117,3
101,13,13 ME,13,3
101,183,183 BZ,183,3
101,2,2 ME,2,3
101,201,201 BZ,201,3
101,202,202 BZ,202,3
101,211,211 ME,211,3
101,212,212 ME,212,3
101,213,213 ME,213,3
101,214,214 ME,214,3
101,215,215 ME,215,3
101,221,221 ME,221,3
101,222,222 ME,222,3
101,225,225 ME,225,3
101,248,248 ME,248,3
101,3,3 ME,3,3
101,4,4 ME,4,3
101,6,6 ME,6,3
