stop_id,stop_name,stop_lat,stop_lon
1,Stazione Merano - Bhf Meran,46.673008,11.149808
100,Via Weingartner - Weingartnerstr.,46.679186,11.126797
1000,Autostazione - Busbahnhof,46.496064,11.356278
101,- Lackner,46.677469,11.146297
10849,Stazione Terlano - Bhf Terlan,46.528392,11.249186
1090,Ponte Palermo - Palermo Brücke,46.484056,11.332064
1091,IVECO,46.479792,11.330206
1092,Cimitero Nord - Friedhof Nord,46.475489,11.337397
1093,Cimitero Nord - Friedhof Nord,46.475733,11.337583
1094,Via Loris Musy - Loris Musy Str.,46.467853,11.334414
1095,Via Loris Musy - Loris Musy Str.,46.467553,11.334394
1096,Via Max Valier - Max Valier Str.,46.462836,11.333239
1097,Via Max Valier - Max Valier Str.,46.462478,11.333469
1098,Centro - Zentrum,46.460186,11.332872
1099,Centro - Zentrum,46.460714,11.333175
1100,Via Pascoli - Pascoli Str.,46.452525,11.335519
1101,Via Pascoli - Pascoli Str.,46.452836,11.335506
1102,Pineta - Steinmannwald,46.438003,11.345033
1103,Pineta - Steinmannwald,46.437392,11.345367
1104,- Camping,46.429561,11.344200
1105,- Camping,46.429194,11.343078
1106,Centro - Zentrum,46.427453,11.337606
1107,Centro - Zentrum,46.426800,11.336933
1108,Posta - Post,46.423447,11.333156
1109,Posta - Post,46.423303,11.333106
1110,Caserma - Kaserne,46.418022,11.332239
1111,Caserma - Kaserne,46.418061,11.332350
1112,via A. Meucci - A. Meucci Str.,46.413547,11.328400
1113,via A. Meucci - A. Meucci Str.,46.413506,11.328292
1114,via Nobel - Nobel Str.,46.415778,11.328506
1116,- Raif,46.402986,11.321925
1117,- Raif,46.403233,11.322636
1211,Municipio - Rathaus,46.519706,11.233089
1212,Municipio - Rathaus,46.520111,11.232742
1213,Lido di Andriano - Andrian Schwimmbad,46.521758,11.229236
1214,Lido di Andriano - Andrian Schwimmbad,46.522097,11.227572
1215,Fontanefredde - Kaltenbrunn,46.535906,11.207953
1216,Fontanefredde - Kaltenbrunn,46.535733,11.208156
1217,- Huben,46.538989,11.206072
1218,- Huben,46.538772,11.206253
1219,Piazza Municipio - Rathausplatz,46.542858,11.202928
1220,Piazza Municipio - Rathausplatz,46.542728,11.202967
1221,Piazza Fontana - Brunnenplatz,46.540644,11.204278
1222,Piazza Fontana - Brunnenplatz,46.540489,11.204358
1223,Staz. Vilpiano Nalles-Bhf Vilipian Nals,46.554039,11.220669
1236,Cimitero di Cardano - Friedhof Kardaun,46.492731,11.394314
